,Product,Review,Rating
157,Mobile phone,Awesome product ❤️❤️🤗🤗,5
158,Mobile phone,under 10k it's considerable,4
159,Mobile phone,Full on waste of money in terms of discount. They are not providing the actual picture quality in such a high megapixels. Fully disappointed on carema quality. Not expe ted that it is so so bad. Such a horrible experience. Never every buy this discounted product. WASTE OF MONEY.,3
160,Mobile phone,superb,5
161,Mobile phone,Butti full,5
162,Mobile phone,Good,5
163,Mobile phone,Very good,5
164,Mobile phone,Best charging device.,5
165,Mobile phone,Not bad,4
166,Mobile phone,Good,5
167,Mobile phone,Superb mobile,4
168,Mobile phone,Average mobile,3
169,Mobile phone,Superb,5
170,Mobile phone,Nice phone,4
171,Mobile phone,Best quality of this range,5
172,Mobile phone,Nice product 👍👍,5
173,Mobile phone,Very good product,4
174,Mobile phone,Nice moble,5
175,Mobile phone,Excellent product,5
176,Mobile phone,Liked the battery back up mostly,5
177,Mobile phone,Don't buy this is worst mobile,1
178,Mobile phone,"I wrote after used mobile not work smoothly,,Net not working properly ,touch not working properly.",1
179,Mobile phone,Good product very nice and valuable money,4
180,Mobile phone,Budget mobile,3
181,Mobile phone,Good phone,5
182,Mobile phone,Display and camera are not good.,3
183,Mobile phone,Not bad,5
184,Mobile phone,Nice budget phone,5
185,Mobile phone,Good,5
186,Mobile phone,Very wieght,3
187,Mobile phone,good,5
188,Mobile phone,Nyc,4
189,Mobile phone,Not God,2
190,Mobile phone,Samsang phones life long device,3
191,Mobile phone,Good,3
192,Mobile phone,Good,4
193,Mobile phone,Good,5
194,Mobile phone,Good luck,5
195,Mobile phone,Very nice 👌 👍,5
196,Mobile phone,Nice,5
197,Mobile phone,I bought it for my father.,3
198,Mobile phone,Battery problem,2
199,Mobile phone,Good for normal use,5
200,Mobile phone,Good,3
201,Mobile phone,Great,3
202,Mobile phone,Good mobile,5
203,Mobile phone,Using first time Android mobile user is the best mobile,4
204,Mobile phone,Very bad camera and quality,1
205,Mobile phone,Nice,4
206,Mobile phone,Very good product,5
207,Mobile phone,Excellent,5
208,Mobile phone,Best camera,5
209,Mobile phone,Very slow processing!! Finger print sensor is dead! Regret buying,3
210,Mobile phone,Good,5
211,Mobile phone,Camara is not good don't buy this product it's West of money their is no refund policy,1
212,Mobile phone,Good phone,5
213,Mobile phone,Nice one thanks,5
214,Mobile phone,Good,5
215,Mobile phone,Thank you Flipkart,5
216,Mobile phone,Battery's and camera is improvement🥰,5
217,Mobile phone,Super,3
218,Mobile phone,Good very good,5
219,Mobile phone,Nice,5
220,Mobile phone,Super 👌 👍 😍,5
221,Mobile phone,Good samsung mobile,5
222,Mobile phone,Fantastic,5
223,Mobile phone,Over all good mobile,5
224,Mobile phone,Nice,5
225,Mobile phone,Phone is good for normal user,4
226,Mobile phone,Worth for cost,4
227,Mobile phone,Good product,5
228,Mobile phone,Best smartphone,5
229,Mobile phone,nice phone,4
230,Mobile phone,Good,5
231,Mobile phone,Awesome,4
232,Mobile phone,Samsung is Always ultimate Me like only this Brand,4
233,Mobile phone,Nice phone,5
234,Mobile phone,Awesome,5
235,Mobile phone,Ok now the mobile call st is lowww,3
236,Mobile phone,Good,4
237,Mobile phone,"It looks like jumbo phone, weighs too much",4
238,Mobile phone,Nice,3
239,Mobile phone,Best,5
240,Mobile phone,These phone is good but hanging problem continue.,3
241,Mobile phone,Good,4
242,Mobile phone,Good product.,5
243,Mobile phone,Ok,5
244,Mobile phone,Full satisfied for this mobile so Good,4
245,Mobile phone,Good,5
246,Mobile phone,Over all good,4
247,Mobile phone,Gud,4
248,Mobile phone,Osm,5
249,Mobile phone,Sound problem and network problem Don't buy F12,1
250,Mobile phone,"Phone is very good Worth for money, camera quality is also good, sound quality is also good, battery backup is massive. Battery get dead after 40hours from 100% after using it heavily all day. The back design is stylish.",5
251,Mobile phone,Nice product.,5
252,Mobile phone,It's Value for money under 9k.,4
253,Mobile phone,Not bad... Everything good...,4
254,Mobile phone,Nice product,5
255,Mobile phone,Nice,5
256,Mobile phone,Super,5
257,Mobile phone,Ok,4
258,Mobile phone,Very nice product under9500,5
259,Mobile phone,Nice picture capture this phone...picture 📸 is very natural 📸...no beauty only natural picture...excellent phone....😍😍,5
260,Mobile phone,Best phone in 9k,4
261,Mobile phone,Super 👌 👍,5
262,Mobile phone,It keeps hanging 4 times in 12 hour in just the use of 7 days,1
263,Mobile phone,Best deal,5
264,Mobile phone,Best quality 💯✌✌🙏👉,5
265,Mobile phone,Good,3
266,Mobile phone,Nice product,5
267,Mobile phone,Best mobile in tha price range,4
268,Mobile phone,Best mobile in tha price,4
269,Mobile phone,Verey good,5
270,Mobile phone,God,4
271,Mobile phone,Nice product thank you Flipkart value money.,5
272,Mobile phone,Its good,4
273,Mobile phone,Very good product,5
274,Mobile phone,Good,4
275,Mobile phone,V good,5
276,Mobile phone,Nice,4
277,Mobile phone,Good,4
278,Mobile phone,Good mobile,4
279,Mobile phone,Yo,5
280,Mobile phone,Just an entry level smartphone from samsung,4
281,Mobile phone,Nice budget phone by samsung brand,4
282,Mobile phone,Good product,5
283,Mobile phone,Good,3
284,Mobile phone,Phone is good but camera is not good,5
285,Mobile phone,"Working very slow, I am not happy.",3
286,Mobile phone,Nice,5
287,Mobile phone,Very good products,5
288,Mobile phone,It's very helpful,4
289,Mobile phone,Nice super,5
290,Mobile phone,Classic and unbeatable product in this range.,5
291,Mobile phone,Good mobile.,4
292,Mobile phone,Good,4
293,Mobile phone,Good midrange phone.... fully loaded features at good price.... phone is not good for heavy gaming.,4
294,Mobile phone,Thank you,4
295,Mobile phone,Waste of money Touch not working do not but this mobile... Do not use purchase a mobile phone on flipkart... Flipkart is waste for purchasing mobile phone,1
296,Mobile phone,Camera is not good. But as compare with mobile cost its good one.,3
297,Mobile phone,Good,4
298,Mobile phone,Super,5
299,Mobile phone,Good,4
300,Mobile phone,Camera not good,2
301,Mobile phone,Good,5
302,Mobile phone,Best performance,5
303,Mobile phone,Heavy weight of phone don't buy this,3
304,Mobile phone,Woow,3
305,Mobile phone,Good after 7 day's,5
306,Mobile phone,Ok product,5
307,Mobile phone,Net speed very very slow .phone activity totally wasit.my mony loss,1
308,Mobile phone,Ok,5
309,Mobile phone,Nice product,4
310,Mobile phone,Best phone,3
311,Mobile phone,Product is good,3
312,Mobile phone,Good phone worth for money,5
313,Mobile phone,Low price and best phone only display to work next time,5
314,Mobile phone,Very best product,5
315,Mobile phone,Good quality,5
316,Mobile phone,Good,5
317,Mobile phone,Good,4
318,Mobile phone,Fantastic,4
319,Mobile phone,Nice,4
320,Mobile phone,Best Mobile in this price range.,5
321,Mobile phone,An entry level smartphone from samsung. That's it.,4
322,Mobile phone,Best mobile in such a low cost. Performance is outstanding. Loved it.,5
323,Mobile phone,Not good deal,2
324,Mobile phone,nice 😊,3
325,Mobile phone,Phone is good ☺️ for beginners,4
326,Mobile phone,Good,5
327,Mobile phone,"Very good product in this price, super battery backup",5
328,Mobile phone,One word excellent,5
329,Mobile phone,This mobile is very high performance and best for money.,5
330,Mobile phone,Good,4
331,Mobile phone,Very good,5
332,Mobile phone,Super,5
333,Mobile phone,Thanks 🙏,5
334,Mobile phone,Good,5
335,Mobile phone,Good product,4
336,Mobile phone,Gud product,5
337,Mobile phone,Good phone under this price..,5
338,Mobile phone,I am satisfied with this product.,4
339,Mobile phone,"Good service, best product.",5
340,Mobile phone,Nice,5
341,Mobile phone,Camera is no better (back/frant),1
342,Mobile phone,GOOD,4
343,Mobile phone,Nicely,5
344,Mobile phone,Good prouduct👍,4
345,Mobile phone,Good,5
346,Mobile phone,Nice,4
347,Mobile phone,Very good mobile,5
348,Mobile phone,Excellent product indeed you will realize value for money...,5
349,Mobile phone,Nice phone,5
350,Mobile phone,That is amazing smartphone,5
351,Mobile phone,Phone is best,5
352,Mobile phone,It's nly been an week mble speaker not working at all.,1
353,Mobile phone,Good phone in midiam price,5
354,Mobile phone,Satisfied,5
355,Mobile phone,"Superb feeling, very good choice for all",5
356,Mobile phone,Very bad phone I hate this phone Flipkart service very poor disappointed 😢,1
357,Mobile phone,Nyc,4
358,Mobile phone,Good fone,4
359,Mobile phone,Awesome product thanks flipkart,5
360,Mobile phone,Good,5
361,Mobile phone,Superb,4
362,Mobile phone,Good product,4
363,Mobile phone,Ok,5
364,Mobile phone,Very nice,4
365,Mobile phone,Good,4
366,Mobile phone,Value for money...,5
367,Mobile phone,"Great phone in this price range I'm using this phone for more than 4 month and..  camera quality is far better then other mobile phone camera in range. battery stay whole day with excessive internet use, it has massive battery. No leg in any app not hang. Good display quality. Phone Charging time decent.",5
368,Mobile phone,Very nice👍👍,5
369,Mobile phone,Vary bad phone,1
370,Mobile phone,Product is the v good,5
371,Mobile phone,Good,5
372,Mobile phone,Nice mobile in budget,5
373,Mobile phone,I didn't like display quality .. Color combination not good.. just like color fade.. Not recommended to buy,1
374,Mobile phone,I lv samsung ❤️,5
375,Mobile phone,Good,5
376,Mobile phone,Good phon samsung f12,4
377,Mobile phone,Awesome phone in low price,5
378,Mobile phone,Very slow front camera not good,2
379,Mobile phone,Awesome service to time delivery and perfect mobile,5
380,Mobile phone,Nice,5
381,Mobile phone,Very good,5
382,Mobile phone,It doesn't have 3 finger screenshot and data speed calculating facility,4
383,Mobile phone,Such a great phone I have ever used,5
384,Mobile phone,Finger print sensor not working properly.,3
385,Mobile phone,Good,5
386,Mobile phone,Good product.,4
387,Mobile phone,Top,4
388,Mobile phone,Phone over weight,3
389,Mobile phone,Bed display,1
390,Mobile phone,Very good product for Flipkart 👍,5
391,Mobile phone,Great finish. Awesome camera. Battery is mind-blowing. Must buy. Reasonable price,5
392,Mobile phone,Very nice phone.....,4
393,Mobile phone,Nice mobile,5
394,Mobile phone,It's too good 👍,5
395,Mobile phone,Poor maicro fon,1
396,Mobile phone,Phone is new still hangs and the processing takes too much time . Touch. Is not working properly,1
397,Mobile phone,Ok,4
398,Mobile phone,Osm,5
399,Mobile phone,good product & good delivery,5
400,Mobile phone,Awesome 👌,4
401,Mobile phone,Loved it,5
402,Mobile phone,Device Bluetooth is very chip vargan very bad working,3
403,Mobile phone,"As a normal product it is good and it's performance is normal, but all coupons are discount coupons, this subscription is not free. In 3 day it is hanging without play games. So that's not a very good product this is a normal product is low price.",3
404,Mobile phone,Good,4
405,Mobile phone,"Very bad experiences,speaker is not working properly.",1
406,Mobile phone,Best,5
407,Mobile phone,Nice phone,5
408,Mobile phone,Good phone,5
409,Mobile phone,Good,5
410,Mobile phone,Worth For Money,5
411,Mobile phone,Good mobile batter backup gazab,4
412,Mobile phone,Camara quality is poor battery ok charging ok,1
413,Mobile phone,Good Qc,5
414,Mobile phone,Worst Product...never ever go for this item....waste of money..samsung....is worst brand.,1
415,Mobile phone,Nice product,5
416,Mobile phone,Nice phone go for it,5
417,Mobile phone,Nice,5
418,Mobile phone,Good,5
419,Mobile phone,Worst phone ever..,2
420,Mobile phone,Best buy for normal usage,4
421,Mobile phone,Ok,5
422,Mobile phone,Ok,5
423,Mobile phone,"It is good mobile under this range , but camera is not that much clear as it is 48mp.",5
424,Mobile phone,Nice,4
425,Mobile phone,Very Good Mobile,5
426,Mobile phone,Very nice product and very nice service.,5
427,Mobile phone,Excellent product 👌,5
428,Mobile phone,Awesome phone,5
429,Mobile phone,Good,5
430,Mobile phone,Best,5
431,Mobile phone,Super,4
432,Mobile phone,Phone Processing very slow Not suggest to buy,1
433,Mobile phone,This product is good backup ...........,5
434,Mobile phone,Nice,5
435,Mobile phone,Happy,5
436,Mobile phone,Satisfied,5
437,Mobile phone,no more comments worst mobile phone,1
438,Mobile phone,Nice,5
439,Mobile phone,Very good,3
440,Mobile phone,Love its,5
441,Mobile phone,Nice mobile and battery backup fine,5
442,Mobile phone,Nice phone I purchased good feeling,4
443,Mobile phone,Ok,3
444,Mobile phone,Low price range good parduc,1
445,Mobile phone,To good,4
446,Mobile phone,Good device,4
447,Mobile phone,Worth it 🙂,5
448,Mobile phone,Camera quality is bad,3
449,Mobile phone,Nice phone.i love it,5
450,Mobile phone,"Mobile is full hanging in thee months, thats time i can'nt be replacing",1
451,Mobile phone,Ok all good I want money so I sell my phone,4
452,Mobile phone,Good but small maintanence problem Only,3
453,Mobile phone,Awesome,5
454,Mobile phone,Perfect,5
455,Mobile phone,Not a good phone,1
456,Mobile phone,Expectations are not fulfilled but overall it's good.,4
457,Mobile phone,Nice,5
458,Mobile phone,Waste of Money,1
459,Mobile phone,Supper,5
460,Mobile phone,"Please don’t go on camera specifications frant came has very bad clarity, really bad experience first time in wrong specifications really very bad. Waste of many aa per camera.",2
461,Mobile phone,Overall good but camera quality must be increase,3
462,Mobile phone,Cheap camera,2
463,Mobile phone,Good product moto e60...,5
464,Mobile phone,Worst performance.it hangs alot and its performance make you feel helpless and you will start hating Motorola and definitely you will regret after buying this phone as I AM,1
465,Mobile phone,Nice,5
466,Mobile phone,Very good product,5
467,Mobile phone,Awesom,5
468,Mobile phone,Satisfied,3
469,Mobile phone,Worst experince Not good phone of my experinece,1
470,Mobile phone,Good,3
471,Mobile phone,I love it,5
472,Mobile phone,"It started giving me problem since first day, but i have bought this for a purpose and couldn't have returned it. it has problem with its flash or camera. Photos are all white. This is the first phone which breaks my trust from Motorola. I've been using moto from past several years and this in 5 motorala phone in my family and 3rd mine. Many features like internal app lock is missing. I'm very disappointed, flash and camera didn't sink. Moto degraded its quality. Don't buy!",1
473,Mobile phone,Ok,3
474,Mobile phone,Grt quality product,5
475,Mobile phone,Mobile hit hotahe,1
476,Mobile phone,Nice phone within your budget. Just need an gallery 🙂 Google photos don't work without internet 🙃,4
477,Mobile phone,Nice camera,3
478,Mobile phone,Good product for moto,5
479,Mobile phone,Best,5
480,Mobile phone,Camera and display not good,2
481,Mobile phone,Decent performance. Value for money.,3
482,Mobile phone,Phone is good but camera performance is not to good.,4
483,Mobile phone,Not meet expectations,3
484,Mobile phone,I have issue in battery battery backup is very low when we use internet,3
485,Mobile phone,Value for money,3
486,Mobile phone,Very poor,1
487,Mobile phone,I liked the product,5
488,Mobile phone,Camera quality not good very bad 😞,1
489,Mobile phone,Good,3
490,Mobile phone,"Decent. Has some compromises like no Gorilla glass front, storage not UFS, etc. But basics like proximity sensor, network reception, call clarity, stability and bloat free OS are important to me. Bought in FK sale, VFM.",4
491,Mobile phone,I hat this phone,1
492,Mobile phone,Very bad product.... slow working phone.... unhappy,1
493,Mobile phone,Photo is blur,1
494,Mobile phone,Wonderful,4
495,Mobile phone,Perfect phone.dont think go for it,5
496,Mobile phone,Bad phone,2
497,Mobile phone,Camera quality so bad. Waste of money 💸💸,1
498,Mobile phone,One of the Best Smartphone Under 20K,5
499,Mobile phone,Worth purchasing,5
500,Mobile phone,Nice phon Best quality Thanks Flipkart,5
501,Mobile phone,Super,5
502,Mobile phone,Worth,3
503,Mobile phone,Good,4
504,Mobile phone,"I suggest dont purchase electronics from flipkart, this is the second phone from flipkart with issues. No more electronic purchasing from flipkart.",1
505,Mobile phone,Worst experience with Moto.... It's been 3 months it's motherboard got problem.. Worst,1
506,Mobile phone,Nice to see you,5
507,Mobile phone,Nice mobile pictures are still,5
508,Mobile phone,Better then Uber moto.,5
509,Mobile phone,"Loved this phone by Motorola, it feels heavy in weight for first time but no issues after regular use. The 108MP camera is awesome, the processing of image after click is great. When full charged you are good to go for one full day with moderate use. Multitasking is smooth with 6GB RAM.",5
510,Mobile phone,Value for money,5
511,Mobile phone,Good,4
512,Mobile phone,Phone is bery heavy...power buttor doesn't work properly...think about the weight of the phone before you buy,3
513,Mobile phone,Overall good,4
514,Mobile phone,Thanku Flipkart,4
515,Mobile phone,Good product. They need to improve the sound,5
516,Mobile phone,Camera is not good iam not happy with this,3
517,Mobile phone,Nice,5
518,Mobile phone,Excellent thanks for flipkart,5
519,Mobile phone,Phone is very good and nice performance Camera quality is nice,5
520,Mobile phone,Its just an amazing product ...value of money ...really one must buy it,5
521,Mobile phone,Excellent,5
522,Mobile phone,Just ok phone.... little slow...,3
523,Mobile phone,Camera is worst but without camera All things are good ☺️,4
524,Mobile phone,Good product and it's camera is also soo good,5
525,Mobile phone,Awesome all functions well done moto.,4
526,Mobile phone,I am not a heavy user.... Only I wanted a long battery life Mobile and it is here now.... performance is good...,5
527,Mobile phone,Gd,3
528,Mobile phone,Moto is the best.....,5
529,Mobile phone,Very nice product,5
530,Mobile phone,Okay but not impressed,3
531,Mobile phone,Worst experience about rear and front camera's.  108 megapixles?  32 megapixles? ........Never.  MOTOROLA SHOULD NOTE THIS MY POINT.,1
532,Mobile phone,Low quality is motorola set price is very high,1
533,Mobile phone,Good product ..im so happy,5
534,Mobile phone,Awesome 😎,5
535,Mobile phone,Best Quality,5
536,Mobile phone,Nice Product,4
537,Mobile phone,Excellent product,5
538,Mobile phone,Battery performance is not as expected in 6000 mha . I had Mi and their 6000 mha battery was more powerful than Motorola. Except this other features are fine with this price range.,4
539,Mobile phone,Nice mobile but little heavy its around 230g after back cover is added. Very good performance from moto,4
540,Mobile phone,Good,5
541,Mobile phone,Very good,5
542,Mobile phone,"waste product, heating issue, network issue. hanging, access of the items like downloads, documents, images impossible. it cumbersome process. simply not useful",1
543,Mobile phone,Wroste mobile Daily one time mobile restart cheyali Net wrok problem,1
544,Mobile phone,Satisfied,5
545,Mobile phone,excellent,5
546,Mobile phone,Thank you,5
547,Mobile phone,Spr,4
548,Mobile phone,It's good the clean android battery it's all good but camera is not good,5
549,Mobile phone,Worst phone don't ever buy it in your life.. I am fed up.. it hangs a lot.. network issues nd other,1
550,Mobile phone,Very bad mobile I brought in my life... The camera doesn't work properly.. mobile very slow .. when I use to play game then mobile doesn't work.. camera slow motion doesn't work.. always hang....,1
551,Mobile phone,Good,4
552,Mobile phone,Good one,4
553,Mobile phone,Hanging problem,2
554,Mobile phone,Its an osm experiance .... Value for money... User friendly... Delivery was also much good.. Silverfox,5
555,Mobile phone,Best phone under 20000,5
556,Mobile phone,This is wrost phone in my using phones not connecting charger in on screen not camera good,1
557,Mobile phone,Good phone within budget,5
558,Mobile phone,Given camara quality is not there and also week signal received.,1
559,Mobile phone,Worst mobile,1
560,Mobile phone,Awesome product by trusted brand,5
561,Mobile phone,Camera was flap n,2
562,Mobile phone,OK,3
563,Mobile phone,Decent phone,5
564,Mobile phone,Liked it,5
565,Mobile phone,Wonderful,5
566,Mobile phone,"I used this phone from last 2 months. And this is the honest review...👍 This phn is amazing, camera is great , battery backup is awsome , little heavier but look of the phn are to good..👌 no lacking problem ever , little wireless bluetooth connectivity problem but some changes in settings it will be solved .....over all a great phn to any user must buy👍",5
567,Mobile phone,Heavy weight and it is not upto the mark of it's camera or any others and display quality is very very poor. I thought that it has many features in budget but that's the worst of my thinking in this product. I feel so pity upon myself.,1
568,Mobile phone,"It's awsm, i like this... In this price, You never get any phone with these features... Worth it 🙂",4
569,Mobile phone,Value for money 💸💰💸,5
570,Mobile phone,"Good Product except "" Moto do not provides Earphones""",5
571,Mobile phone,Worthy Phone,5
572,Mobile phone,Lovely,5
573,Mobile phone,Product @ its best for its price range,5
574,Mobile phone,Good product,4
575,Mobile phone,Ok ok,3
576,Mobile phone,Phone not capcter proper net friquency it is very poor performance again oppo a5s I am so unhappy to by this product.bakwas connecting very slow open app.,1
577,Mobile phone,Best,5
578,Mobile phone,Very heating mobile..,3
579,Mobile phone,Good product.. using for long time.. camera is awesome .. batery backup is good.. audio output is good ... Taking pic like pro using this phone camera,5
580,Mobile phone,Camera📷 quality is very bad,1
581,Mobile phone,Awesome,5
582,Mobile phone,Compass is not working and Google map navigator not working,5
583,Mobile phone,Nice product,4
584,Mobile phone,Awesome phon product,5
585,Mobile phone,"The most annoying problem of this phone is, the dual sim does not work properly. I use Jio LTE and BSNL sim cards. The Jio LTE sim card automatically gets disable after 1 hour. I have tried multiple methods to check if this can solved but all the online solutions have not yet worked on this G60 mobile. This is really frustrating. I bought this phone with high expectations.  I request Motorola to fix this if possible through updates.",2
586,Mobile phone,Super,5
587,Mobile phone,Complete stock android is not good and it seems like this product has been designed to spy on users by Google.,1
588,Mobile phone,Good,4
589,Mobile phone,Performance not so good,3
590,Mobile phone,Worst phone ever,1
591,Mobile phone,Battery back up is very good performence is the best,5
592,Mobile phone,Good,3
593,Mobile phone,Nice product...,3
594,Mobile phone,Very sorry nice,5
595,Mobile phone,Best choice,4
596,Mobile phone,Camera clarity was okay,4
597,Mobile phone,Very bad mobile in world,1
598,Mobile phone,Good,4
599,Mobile phone,Nice,4
600,Mobile phone,Fabulous,5
601,Mobile phone,Good one,5
602,Mobile phone,Very bad product don't buy it gys Motorola is the very verst it's not good for use,1
603,Mobile phone,Best smartphone,5
604,Mobile phone,overall good in all prespective or i can say allrounder 👌👌😜,4
605,Mobile phone,Good,4
606,Mobile phone,"It is an amazing phone but the only thing is we cannot focus the Camera from the front one, also sometimes it gets stuck inbetween.....u can but this product as it's back camera is pretty good..",4
607,Mobile phone,Good,5
608,Mobile phone,Portrait mode is just awesome.,5
609,Mobile phone,Nice phone good delivery man,5
610,Mobile phone,Good,5
611,Mobile phone,Worst part of phone is charging issue after 4-5 months...it will leave charging to u have to restart... sometimes it will start discharging the phone while charger is plugged in,1
